phoneme,stabilizing selection,lower bnd,upper bnd
uw,13.636400899858485,9.210792265480277,16.90835643606694
aeh,13.697106397799441,11.64510550582704,17.050634528119943
aw,19.69407509716783,17.0158983967353,24.838335990592338
uwr,20.359795260022484,17.35986481610161,25.918782266065016
ow,21.11100925041852,16.234208146851042,26.11264714418392
uwL,21.23402030878595,17.19283517641174,28.975874547308305
ae,21.51452380050494,17.69692104085476,28.52816151834189
owF,24.76243931511119,18.818207904156704,29.71031783559979
owr,25.38148667307494,20.27900396544852,33.06767821166629
iyr,25.509389976538078,20.375098458892754,32.11816354771334
oh,26.314244547769196,22.095770730585357,33.59972878239642
u,26.56493991349603,22.647995870631163,33.10757811975511
ahr,27.355052842248856,20.451415405537066,35.263215941830026
oy,27.37855579285627,22.315608952070885,35.98329888373681
iy,27.43174177284992,21.343146139225265,36.04979512893867
owL,27.62695735690225,22.611990677542636,34.92486457004674
ey,29.757437442872767,24.00933102518944,39.408724810479775
ah,30.730313898465454,23.613951338758064,39.90879413297604
ay0,31.337196822486636,26.515712047213835,39.60611412683308
Tuw,31.536233141512362,25.42164575785594,39.99815297919443
uh,31.81662594337964,25.07446148215574,39.82281805644554
o,32.61019505511335,26.96460051742239,42.534911589147946
eyF,34.932109343021715,28.064749800070512,44.00721263147565
ay,35.165638609093214,27.696313105222266,47.12686714121832
e,38.117858113012495,31.73601700276274,47.38464713444549
i,41.31393192066296,32.575885109562705,54.176239256369506
